theta,p,model
32.5,2.04665987498442e-05,brooklyn prior
32.6,2.05162358708251e-05,brooklyn prior
32.7,2.05658392925654e-05,brooklyn prior
32.8,2.06154091349687e-05,brooklyn prior
32.9,2.06649455171461e-05,brooklyn prior
33,2.07144485574239e-05,brooklyn prior
33.1,2.07639183733514e-05,brooklyn prior
33.2,2.0813355081708e-05,brooklyn prior
33.3,2.08627587985107e-05,brooklyn prior
33.4,2.09121296390214e-05,brooklyn prior
33.5,2.0961467717754e-05,brooklyn prior
33.6,2.10107731484814e-05,brooklyn prior
33.7,2.10600460442429e-05,brooklyn prior
33.8,2.11092865173506e-05,brooklyn prior
33.9,2.11584946793964e-05,brooklyn prior
34,2.12076706412589e-05,brooklyn prior
34.1,2.12568145131099e-05,brooklyn prior
34.2,2.13059264044209e-05,brooklyn prior
34.3,2.13550064239697e-05,brooklyn prior
34.4,2.1404054679847e-05,brooklyn prior
34.5,2.14530712794622e-05,brooklyn prior
34.6,2.15020563295504e-05,brooklyn prior
34.7,2.15510099361779e-05,brooklyn prior
34.8,2.15999322047485e-05,brooklyn prior
34.9,2.16488232400101e-05,brooklyn prior
35,2.16976831460596e-05,brooklyn prior
35.1,2.17465120263497e-05,brooklyn prior
35.2,2.17953099836945e-05,brooklyn prior
35.3,2.18440771202749e-05,brooklyn prior
35.4,2.18928135376446e-05,brooklyn prior
35.5,2.19415193367357e-05,brooklyn prior
35.6,2.19901946178644e-05,brooklyn prior
35.7,2.20388394807358e-05,brooklyn prior
35.8,2.20874540244504e-05,brooklyn prior
35.9,2.21360383475084e-05,brooklyn prior
36,2.21845925478157e-05,brooklyn prior
36.1,2.22331167226889e-05,brooklyn prior
36.2,2.22816109688604e-05,brooklyn prior
36.3,2.23300753824836e-05,brooklyn prior
36.4,2.2378510059138e-05,brooklyn prior
36.5,2.24269150938342e-05,brooklyn prior
36.6,2.24752905810187e-05,brooklyn prior
36.7,2.25236366145788e-05,brooklyn prior
36.8,2.25719532878477e-05,brooklyn prior
36.9,2.26202406936088e-05,brooklyn prior
37,2.26684989241009e-05,brooklyn prior
37.1,2.27167280710226e-05,brooklyn prior
37.2,2.27649282255371e-05,brooklyn prior
37.3,2.28130994782764e-05,brooklyn prior
37.4,2.28612419193461e-05,brooklyn prior
37.5,2.290935563833e-05,brooklyn prior
37.6,2.2957440724294e-05,brooklyn prior
37.7,2.30054972657911e-05,brooklyn prior
37.8,2.30535253508652e-05,brooklyn prior
37.9,2.31015250670555e-05,brooklyn prior
38,2.3149496501401e-05,brooklyn prior
38.1,2.31974397404442e-05,brooklyn prior
38.2,2.32453548702357e-05,brooklyn prior
38.3,2.32932419763379e-05,brooklyn prior
38.4,2.33411011438292e-05,brooklyn prior
38.5,2.3388932457308e-05,brooklyn prior
38.6,2.34367360008968e-05,brooklyn prior
38.7,2.34845118582457e-05,brooklyn prior
38.8,2.35322601125366e-05,brooklyn prior
38.9,2.35799808464869e-05,brooklyn prior
39,2.36276741423534e-05,brooklyn prior
39.1,2.36753400819359e-05,brooklyn prior
39.2,2.3722978746581e-05,brooklyn prior
39.3,2.37705902171855e-05,brooklyn prior
39.4,2.38181745742005e-05,brooklyn prior
39.5,2.38657318976347e-05,brooklyn prior
39.6,2.39132622670578e-05,brooklyn prior
39.7,2.39607657616044e-05,brooklyn prior
39.8,2.40082424599771e-05,brooklyn prior
39.9,2.405569244045e-05,brooklyn prior
